"primary_industry";"number_of_targets";"number_of_companies";"data_source_year";"ambition_BY_2C";"ambition_BY_1_5C";"ambition_MRY_2C";"ambition_MRY_1_5C";"on_track";"progress_average";"progress_median";"progress_5p";"progress_95p";"1_target_year_group";"2_target_year_group";"3_target_year_group"
"Total";2415;1695;2021;51.5527950310559;29.3167701863354;37.4741200828157;21.2836438923395;76.5631469979296;9.08494038443459;6.09791049784051;-2.36952807904394;39.115358865997;795;1225;395
"Apparel";57;53;2021;73.6842105263158;45.6140350877193;50.8771929824561;40.3508771929825;80.7017543859649;34.5987802410922;10.6042444387142;-2.8469099716294;111.58355690815;21;35;1
"Biotech, health care & pharma";88;61;2021;54.5454545454545;30.6818181818182;36.3636363636364;22.7272727272727;69.3181818181818;8.9872608117578;5.73770491803279;-0.769168675212633;26.9295760328918;31;48;9
"Food, beverage & agriculture";132;93;2021;54.5454545454545;26.5151515151515;50;27.2727272727273;62.1212121212121;4.45060579304712;3.52184676289318;-2.0998757336456;13.5299356549663;35;74;23
"Fossil Fuels";65;38;2021;29.2307692307692;16.9230769230769;40;15.3846153846154;70.7692307692308;7.27748969902885;4.62220682677927;-0.502305871612871;26.085510087859;19;28;18
"Hospitality";28;22;2021;75;46.4285714285714;32.1428571428571;17.8571428571429;89.2857142857143;19.3788323762055;12.8750256515494;4.4435137734563;38.242009009297;11;16;1
"Infrastructure";199;126;2021;49.2462311557789;30.1507537688442;39.6984924623116;22.1105527638191;72.8643216080402;8.18432318824248;5.9076731892186;-5.26207499056364;32.350604259271;52;102;45
"Manufacturing";661;481;2021;47.0499243570348;24.9621785173979;34.4931921331316;18.4568835098336;77.1558245083207;3.36668377114339;4.92055421354813;-3.3804656662785;36.7748519586024;241;334;86
"Materials";242;183;2021;42.9752066115703;15.702479338843;33.4710743801653;13.6363636363636;71.900826446281;6.4672150899798;3.56766189409451;-1.94209396237565;19.1448215218749;62;144;36
"Other";2;2;2021;50;50;50;50;50;-7.62191450933173;-7.62191450933173;-7.62191450933173;-7.62191450933173;1;1;NA
"Power generation";69;46;2021;39.1304347826087;13.0434782608696;31.8840579710145;14.4927536231884;78.2608695652174;7.03684186855023;5.49679263787243;0.244998484663581;17.6299789900528;13;38;18
"Retail";143;101;2021;62.2377622377622;34.2657342657343;45.4545454545455;27.972027972028;81.1188811188811;10.9567389710908;6.06473422075354;-1.78044077404055;45.2864157406791;39;86;18
"Services";644;431;2021;60.7142857142857;40.9937888198758;38.5093167701863;24.6894409937888;81.9875776397515;13.7322085452521;9.04185825542529;-0.379467414988131;44.6530184678264;251;283;110
"Transportation services";85;58;2021;25.8823529411765;11.7647058823529;22.3529411764706;12.9411764705882;71.7647058823529;9.89388881408492;2.81002594832015;-3.04774436187789;52.9760124997816;19;36;30
