country;scenario;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Brazil;history;1428.214341;1299.291084;1468.567439;1547.009187;1565.019691;2465.889139;1835.543204;1568.499789;1817.318904;1824.971081;1903.750091;1880.27688;2124.501531;3200.896868;3404.052592;2712.315609;2283.173696;2091.51822;2204.125901;1394.200788;1301.242444;1303.406324;1259.932197;1415.657202;1336.013996;1402.095357
China;history;2415.626464;2724.254348;3032.882232;3341.510116;3650.138;3958.765884;4267.393768;4576.021652;4884.649536;5193.27742;5501.905304;5810.533188;6119.161072;6427.788956;6736.416841;7045.044724;7655.752621;8266.460517;8877.168414;9487.87631;10098.58421;10709.2921;11320;11805.17;11805.17;12775.50762
EU;history;5301.2;5177.07;5033.8;4933.42;4897.89;4927.96;5006.1;4907.85;4846.97;4716.74;4762.03;4797.93;4776.95;4883.61;4850.95;4815.18;4787.89;4776.82;4626.37;4262.86;4379.68;4236.21;4171.91;4071.42;3905.18;3933.89
India;history;1180.097338;1192.208038;1204.318738;1216.42944;1228.54014;1240.65084;1252.761542;1264.872242;1276.982942;1289.093644;1301.204344;1355.915688;1410.627032;1465.338376;1520.049719;1574.761063;1629.472407;1684.183751;1738.895095;1793.606439;1848.317782;1961.44;2074.55;2187.67;2300.79;2413.904659
Japan;history;1189.91;1191.58;1201.15;1187.91;1255.74;1272.34;1280.38;1273.97;1232.64;1256.97;1275.13;1249.88;1281.33;1274.15;1273.45;1285.54;1269.97;1307.27;1232.41;1160.71;1210.02;1257.41;1288.39;1310.4;1264.9;1227.16
Mexico;history;456.57867;469.34764;470.24512;476.72594;501.65485;490.05463;510.27558;527.56634;570.84438;543.69699;575.85398;563.53802;559.73789;572.89331;595.28133;609.41574;628.93461;637.75173;672.77651;654.88512;664.70075;663.85;663.00;662.16;661.31;660.4604757
USA;history;5419.89;5356.15;5485.17;5618.49;5679.54;5800.28;5979.11;6055.6;6125.68;6174.25;6340.57;6257.36;6308.54;6343.42;6490.88;6465.04;6387.37;6529.25;6336.93;5886.73;6084.62;5904.35;5659.98;5792.82;5852.08;5699.81
Indonesia;history;464.55299;561.75246;513.84613;376.79213;498.30953;582.1616083;666.0136867;749.865765;833.7178433;917.5699217;1001.422;914.465;1217.373;1017.377;1289.201;1287.74;1597.513;1223.221;1225.176;1548.455;1120.206;1152.594273;1184.982545;1217.370818;1249.759091;1282.147363
South Africa;history;330.36699;338.0805425;345.794095;353.5076475;361.2212;371.8875;382.5538;393.2201;403.8864;414.5527;425.219;425.748;435.151;460.49;481.944;480.14;480.251;504.975;493.407;496.621;518.239;525.50;532.76;540.02;547.28;554.5356672
Russia;history;3773.89;3592.35;2977.66;2719.81;2363.31;2244.01;2105.38;1911.92;1872.71;1849.32;1812.17;1783.86;1757.92;1828.81;1883.44;1911.66;1990.34;1960.38;1937.54;1785.28;1886.5;1924.95;2000.35;1945.8;1933.08;1990.73
