year;Scenario;Company type;Policy instrument;scope 1;scope 2;total
2019;History;SBTi companies without ETS installations;EU ESR;52.0;0.0;52.0
2019;History;SBTi companies without ETS installations;EU ETS;0.0;11.7;11.7
2019;History;SBTi companies with ETS installations;EU ESR;93.6;0.0;93.6
2019;History;SBTi companies with ETS installations;EU ETS;71.8;13.6;85.4
2019;History;SBTi companies without ETS installations;EU ESR;52.0;0.0;52.0
2019;History;SBTi companies without ETS installations;EU ETS;0.0;11.7;11.7
2019;History;SBTi companies with ETS installations;EU ESR;93.6;0.0;93.6
2019;History;SBTi companies with ETS installations;EU ETS;71.8;13.6;85.4
2019;History;SBTi companies without ETS installations;EU ESR;52.0;0.0;52.0
2019;History;SBTi companies without ETS installations;EU ETS;0.0;11.7;11.7
2019;History;SBTi companies with ETS installations;EU ESR;93.6;0.0;93.6
2019;History;SBTi companies with ETS installations;EU ETS;71.8;13.6;85.4
2030;CPS;SBTi companies without ETS installations;EU ESR;41.5;0.0;41.5
2030;CPS;SBTi companies without ETS installations;EU ETS;0.0;10.0;10.0
2030;CPS;SBTi companies with ETS installations;EU ESR;75.9;0.0;75.9
2030;CPS;SBTi companies with ETS installations;EU ETS;61.3;11.6;73.0
2030;CPS;SBTi companies without ETS installations;EU ESR;41.5;0.0;41.5
2030;CPS;SBTi companies without ETS installations;EU ETS;0.0;10.0;10.0
2030;CPS;SBTi companies with ETS installations;EU ESR;75.9;0.0;75.9
2030;CPS;SBTi companies with ETS installations;EU ETS;61.3;11.6;73.0
2030;CPS;SBTi companies without ETS installations;EU ESR;41.5;0.0;41.5
2030;CPS;SBTi companies without ETS installations;EU ETS;0.0;10.0;10.0
2030;CPS;SBTi companies with ETS installations;EU ESR;75.9;0.0;75.9
2030;CPS;SBTi companies with ETS installations;EU ETS;61.3;11.6;73.0
2030;CPS+NSA;SBTi companies without ETS installations;EU ESR;58.3;0.0;58.3
2030;CPS+NSA;SBTi companies without ETS installations;EU ETS;0.0;9.4;9.4
2030;CPS+NSA;SBTi companies with ETS installations;EU ESR;65.2;0.0;65.2
2030;CPS+NSA;SBTi companies with ETS installations;EU ETS;47.9;7.3;55.2
2030;CPS+NSA;SBTi companies without ETS installations;EU ESR;58.3;0.0;58.3
2030;CPS+NSA;SBTi companies without ETS installations;EU ETS;0.0;9.4;9.4
2030;CPS+NSA;SBTi companies with ETS installations;EU ESR;65.2;0.0;65.2
2030;CPS+NSA;SBTi companies with ETS installations;EU ETS;47.9;7.3;55.2
2030;CPS+NSA;SBTi companies without ETS installations;EU ESR;58.3;0.0;58.3
2030;CPS+NSA;SBTi companies without ETS installations;EU ETS;0.0;9.4;9.4
2030;CPS+NSA;SBTi companies with ETS installations;EU ESR;65.2;0.0;65.2
2030;CPS+NSA;SBTi companies with ETS installations;EU ETS;47.9;7.3;55.2
